// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).


0,19990,800
0,19992,800
0,20103,800
0,20111,800
0,20110,800
0,20106,800
0,20169,800
0,20183,800
0,20195,800
0,20198,800
0,20233,800
0,20326,800
0,20034,800
0,20079,800
0,20069,800
0,20083,800
0,20152,800
0,20099,800
0,20202,800
0,20268,800
0,20338,800
0,31093,800
0,20317,800
0,20319,800







1,20404,700
1,31452,600
1,31299,600
1,31186,600
1,20458,600
1,20086,600
1,31387,600
1,31396,600
1,31437,600
1,20325,600
1,31120,600
1,20315,600
1,20132,600
1,20285,600
1,20764,600
1,20514,600
1,20509,600


4,32263,800
4,28521,900
4,18540,700
4,18563,700
4,19439,800
4,32242,900
4,22172,1000
4,2576,750
4,19125,900
4,5933,700
4,19112,750
4,18794,700
4,28902,1500
4,2168,800
4,18813,700
4,5592,700
4,5286,600
4,19116,700
4,5900,700
4,5901,700
4,5902,700
4,5903,700
4,5904,700
4,5905,700
4,5907,700
4,5906,700
4,18793,700
4,5800,700
4,18561,700
4,5376,700
4,2589,900
4,2202,900
4,5325,600
4,5377,650
4,18539,600
4,18500,400
4,5462,500
4,5463,500
4,5359,500
4,5361,650
4,5389,650
4,5490,500
4,5481,500
4,5403,500
4,5155,500
4,5388,400
4,5597,400



6,12922,100
6,14545,100
6,12412,100
6,12411,50
6,7776,40
6,14159,50
6,14160,50
6,14161,50
6,14162,50
6,14163,50
6,14164,50


7,17315,100
7,6225,55
7,6226,55
7,16261,450
7,16260,450
7,6417,30
7,6225,55
7,6226,55
7,16261,450
7,16260,450
7,6241,50
7,6240,50
7,16396,400
7,16394,400
7,7619,40
7,7620,40
7,12214,20
7,12221,20
